module_path,leaf_name,component,layer_index,in_features,out_features,bias,n_params,requires_grad
thinker.audio_tower.layers.3.self_attn.k_proj,k_proj,AUDIO_ENCODER,3,1024,1024,True,1049600,True
thinker.audio_tower.layers.3.self_attn.v_proj,v_proj,AUDIO_ENCODER,3,1024,1024,True,1049600,True
thinker.audio_tower.layers.3.self_attn.q_proj,q_proj,AUDIO_ENCODER,3,1024,1024,True,1049600,True
thinker.audio_tower.layers.3.self_attn.out_proj,out_proj,AUDIO_ENCODER,3,1024,1024,True,1049600,True
thinker.audio_tower.layers.3.fc1,fc1,AUDIO_ENCODER,3,1024,4096,True,4198400,True
thinker.audio_tower.layers.3.fc2,fc2,AUDIO_ENCODER,3,4096,1024,True,4195328,True
thinker.audio_tower.layers.4.self_attn.k_proj,k_proj,AUDIO_ENCODER,4,1024,1024,True,1049600,True
thinker.audio_tower.layers.4.self_attn.v_proj,v_proj,AUDIO_ENCODER,4,1024,1024,True,1049600,True
thinker.audio_tower.layers.4.self_attn.q_proj,q_proj,AUDIO_ENCODER,4,1024,1024,True,1049600,True
thinker.audio_tower.layers.4.self_attn.out_proj,out_proj,AUDIO_ENCODER,4,1024,1024,True,1049600,True
thinker.audio_tower.layers.4.fc1,fc1,AUDIO_ENCODER,4,1024,4096,True,4198400,True
thinker.audio_tower.layers.4.fc2,fc2,AUDIO_ENCODER,4,4096,1024,True,4195328,True
thinker.audio_tower.layers.5.self_attn.k_proj,k_proj,AUDIO_ENCODER,5,1024,1024,True,1049600,True
thinker.audio_tower.layers.5.self_attn.v_proj,v_proj,AUDIO_ENCODER,5,1024,1024,True,1049600,True
thinker.audio_tower.layers.5.self_attn.q_proj,q_proj,AUDIO_ENCODER,5,1024,1024,True,1049600,True
thinker.audio_tower.layers.5.self_attn.out_proj,out_proj,AUDIO_ENCODER,5,1024,1024,True,1049600,True
thinker.audio_tower.layers.5.fc1,fc1,AUDIO_ENCODER,5,1024,4096,True,4198400,True
thinker.audio_tower.layers.5.fc2,fc2,AUDIO_ENCODER,5,4096,1024,True,4195328,True
thinker.audio_tower.layers.6.self_attn.k_proj,k_proj,AUDIO_ENCODER,6,1024,1024,True,1049600,True
thinker.audio_tower.layers.6.self_attn.v_proj,v_proj,AUDIO_ENCODER,6,1024,1024,True,1049600,True
thinker.audio_tower.layers.6.self_attn.q_proj,q_proj,AUDIO_ENCODER,6,1024,1024,True,1049600,True
thinker.audio_tower.layers.6.self_attn.out_proj,out_proj,AUDIO_ENCODER,6,1024,1024,True,1049600,True
thinker.audio_tower.layers.6.fc1,fc1,AUDIO_ENCODER,6,1024,4096,True,4198400,True
thinker.audio_tower.layers.6.fc2,fc2,AUDIO_ENCODER,6,4096,1024,True,4195328,True
thinker.audio_tower.layers.7.self_attn.k_proj,k_proj,AUDIO_ENCODER,7,1024,1024,True,1049600,True
thinker.audio_tower.layers.7.self_attn.v_proj,v_proj,AUDIO_ENCODER,7,1024,1024,True,1049600,True
thinker.audio_tower.layers.7.self_attn.q_proj,q_proj,AUDIO_ENCODER,7,1024,1024,True,1049600,True
thinker.audio_tower.layers.7.self_attn.out_proj,out_proj,AUDIO_ENCODER,7,1024,1024,True,1049600,True
thinker.audio_tower.layers.7.fc1,fc1,AUDIO_ENCODER,7,1024,4096,True,4198400,True
thinker.audio_tower.layers.7.fc2,fc2,AUDIO_ENCODER,7,4096,1024,True,4195328,True
thinker.audio_tower.layers.8.self_attn.k_proj,k_proj,AUDIO_ENCODER,8,1024,1024,True,1049600,True
thinker.audio_tower.layers.8.self_attn.v_proj,v_proj,AUDIO_ENCODER,8,1024,1024,True,1049600,True
thinker.audio_tower.layers.8.self_attn.q_proj,q_proj,AUDIO_ENCODER,8,1024,1024,True,1049600,True
thinker.audio_tower.layers.8.self_attn.out_proj,out_proj,AUDIO_ENCODER,8,1024,1024,True,1049600,True
thinker.audio_tower.layers.8.fc1,fc1,AUDIO_ENCODER,8,1024,4096,True,4198400,True
thinker.audio_tower.layers.8.fc2,fc2,AUDIO_ENCODER,8,4096,1024,True,4195328,True
thinker.audio_tower.layers.9.self_attn.k_proj,k_proj,AUDIO_ENCODER,9,1024,1024,True,1049600,True
thinker.audio_tower.layers.9.self_attn.v_proj,v_proj,AUDIO_ENCODER,9,1024,1024,True,1049600,True
thinker.audio_tower.layers.9.self_attn.q_proj,q_proj,AUDIO_ENCODER,9,1024,1024,True,1049600,True
thinker.audio_tower.layers.9.self_attn.out_proj,out_proj,AUDIO_ENCODER,9,1024,1024,True,1049600,True
thinker.audio_tower.layers.9.fc1,fc1,AUDIO_ENCODER,9,1024,4096,True,4198400,True
thinker.audio_tower.layers.9.fc2,fc2,AUDIO_ENCODER,9,4096,1024,True,4195328,True
thinker.audio_tower.layers.10.self_attn.k_proj,k_proj,AUDIO_ENCODER,10,1024,1024,True,1049600,True
thinker.audio_tower.layers.10.self_attn.v_proj,v_proj,AUDIO_ENCODER,10,1024,1024,True,1049600,True
thinker.audio_tower.layers.10.self_attn.q_proj,q_proj,AUDIO_ENCODER,10,1024,1024,True,1049600,True
thinker.audio_tower.layers.10.self_attn.out_proj,out_proj,AUDIO_ENCODER,10,1024,1024,True,1049600,True
thinker.audio_tower.layers.10.fc1,fc1,AUDIO_ENCODER,10,1024,4096,True,4198400,True
thinker.audio_tower.layers.10.fc2,fc2,AUDIO_ENCODER,10,4096,1024,True,4195328,True
thinker.audio_tower.layers.11.self_attn.k_proj,k_proj,AUDIO_ENCODER,11,1024,1024,True,1049600,True
thinker.audio_tower.layers.11.self_attn.v_proj,v_proj,AUDIO_ENCODER,11,1024,1024,True,1049600,True
thinker.audio_tower.layers.11.self_attn.q_proj,q_proj,AUDIO_ENCODER,11,1024,1024,True,1049600,True
thinker.audio_tower.layers.11.self_attn.out_proj,out_proj,AUDIO_ENCODER,11,1024,1024,True,1049600,True
thinker.audio_tower.layers.11.fc1,fc1,AUDIO_ENCODER,11,1024,4096,True,4198400,True
thinker.audio_tower.layers.11.fc2,fc2,AUDIO_ENCODER,11,4096,1024,True,4195328,True
thinker.audio_tower.layers.12.self_attn.k_proj,k_proj,AUDIO_ENCODER,12,1024,1024,True,1049600,True
thinker.audio_tower.layers.12.self_attn.v_proj,v_proj,AUDIO_ENCODER,12,1024,1024,True,1049600,True
thinker.audio_tower.layers.12.self_attn.q_proj,q_proj,AUDIO_ENCODER,12,1024,1024,True,1049600,True
thinker.audio_tower.layers.12.self_attn.out_proj,out_proj,AUDIO_ENCODER,12,1024,1024,True,1049600,True
thinker.audio_tower.layers.12.fc1,fc1,AUDIO_ENCODER,12,1024,4096,True,4198400,True
thinker.audio_tower.layers.12.fc2,fc2,AUDIO_ENCODER,12,4096,1024,True,4195328,True
thinker.audio_tower.layers.13.self_attn.k_proj,k_proj,AUDIO_ENCODER,13,1024,1024,True,1049600,True
thinker.audio_tower.layers.13.self_attn.v_proj,v_proj,AUDIO_ENCODER,13,1024,1024,True,1049600,True
thinker.audio_tower.layers.13.self_attn.q_proj,q_proj,AUDIO_ENCODER,13,1024,1024,True,1049600,True
thinker.audio_tower.layers.13.self_attn.out_proj,out_proj,AUDIO_ENCODER,13,1024,1024,True,1049600,True
thinker.audio_tower.layers.13.fc1,fc1,AUDIO_ENCODER,13,1024,4096,True,4198400,True
thinker.audio_tower.layers.13.fc2,fc2,AUDIO_ENCODER,13,4096,1024,True,4195328,True
thinker.audio_tower.layers.14.self_attn.k_proj,k_proj,AUDIO_ENCODER,14,1024,1024,True,1049600,True
thinker.audio_tower.layers.14.self_attn.v_proj,v_proj,AUDIO_ENCODER,14,1024,1024,True,1049600,True
thinker.audio_tower.layers.14.self_attn.q_proj,q_proj,AUDIO_ENCODER,14,1024,1024,True,1049600,True
thinker.audio_tower.layers.14.self_attn.out_proj,out_proj,AUDIO_ENCODER,14,1024,1024,True,1049600,True
thinker.audio_tower.layers.14.fc1,fc1,AUDIO_ENCODER,14,1024,4096,True,4198400,True
thinker.audio_tower.layers.14.fc2,fc2,AUDIO_ENCODER,14,4096,1024,True,4195328,True
thinker.audio_tower.layers.15.self_attn.k_proj,k_proj,AUDIO_ENCODER,15,1024,1024,True,1049600,True
thinker.audio_tower.layers.15.self_attn.v_proj,v_proj,AUDIO_ENCODER,15,1024,1024,True,1049600,True
thinker.audio_tower.layers.15.self_attn.q_proj,q_proj,AUDIO_ENCODER,15,1024,1024,True,1049600,True
thinker.audio_tower.layers.15.self_attn.out_proj,out_proj,AUDIO_ENCODER,15,1024,1024,True,1049600,True
thinker.audio_tower.layers.15.fc1,fc1,AUDIO_ENCODER,15,1024,4096,True,4198400,True
thinker.audio_tower.layers.15.fc2,fc2,AUDIO_ENCODER,15,4096,1024,True,4195328,True
thinker.audio_tower.layers.16.self_attn.k_proj,k_proj,AUDIO_ENCODER,16,1024,1024,True,1049600,True
thinker.audio_tower.layers.16.self_attn.v_proj,v_proj,AUDIO_ENCODER,16,1024,1024,True,1049600,True
thinker.audio_tower.layers.16.self_attn.q_proj,q_proj,AUDIO_ENCODER,16,1024,1024,True,1049600,True
thinker.audio_tower.layers.16.self_attn.out_proj,out_proj,AUDIO_ENCODER,16,1024,1024,True,1049600,True
thinker.audio_tower.layers.16.fc1,fc1,AUDIO_ENCODER,16,1024,4096,True,4198400,True
thinker.audio_tower.layers.16.fc2,fc2,AUDIO_ENCODER,16,4096,1024,True,4195328,True
thinker.audio_tower.layers.17.self_attn.k_proj,k_proj,AUDIO_ENCODER,17,1024,1024,True,1049600,True
thinker.audio_tower.layers.17.self_attn.v_proj,v_proj,AUDIO_ENCODER,17,1024,1024,True,1049600,True
thinker.audio_tower.layers.17.self_attn.q_proj,q_proj,AUDIO_ENCODER,17,1024,1024,True,1049600,True
thinker.audio_tower.layers.17.self_attn.out_proj,out_proj,AUDIO_ENCODER,17,1024,1024,True,1049600,True
thinker.audio_tower.layers.17.fc1,fc1,AUDIO_ENCODER,17,1024,4096,True,4198400,True
thinker.audio_tower.layers.17.fc2,fc2,AUDIO_ENCODER,17,4096,1024,True,4195328,True
thinker.audio_tower.layers.18.self_attn.k_proj,k_proj,AUDIO_ENCODER,18,1024,1024,True,1049600,True
thinker.audio_tower.layers.18.self_attn.v_proj,v_proj,AUDIO_ENCODER,18,1024,1024,True,1049600,True
thinker.audio_tower.layers.18.self_attn.q_proj,q_proj,AUDIO_ENCODER,18,1024,1024,True,1049600,True
thinker.audio_tower.layers.18.self_attn.out_proj,out_proj,AUDIO_ENCODER,18,1024,1024,True,1049600,True
thinker.audio_tower.layers.18.fc1,fc1,AUDIO_ENCODER,18,1024,4096,True,4198400,True
thinker.audio_tower.layers.18.fc2,fc2,AUDIO_ENCODER,18,4096,1024,True,4195328,True
thinker.audio_tower.layers.19.self_attn.k_proj,k_proj,AUDIO_ENCODER,19,1024,1024,True,1049600,True
thinker.audio_tower.layers.19.self_attn.v_proj,v_proj,AUDIO_ENCODER,19,1024,1024,True,1049600,True
thinker.audio_tower.layers.19.self_attn.q_proj,q_proj,AUDIO_ENCODER,19,1024,1024,True,1049600,True
thinker.audio_tower.layers.19.self_attn.out_proj,out_proj,AUDIO_ENCODER,19,1024,1024,True,1049600,True
thinker.audio_tower.layers.19.fc1,fc1,AUDIO_ENCODER,19,1024,4096,True,4198400,True
thinker.audio_tower.layers.19.fc2,fc2,AUDIO_ENCODER,19,4096,1024,True,4195328,True
thinker.audio_tower.layers.20.self_attn.k_proj,k_proj,AUDIO_ENCODER,20,1024,1024,True,1049600,True
thinker.audio_tower.layers.20.self_attn.v_proj,v_proj,AUDIO_ENCODER,20,1024,1024,True,1049600,True
thinker.audio_tower.layers.20.self_attn.q_proj,q_proj,AUDIO_ENCODER,20,1024,1024,True,1049600,True
thinker.audio_tower.layers.20.self_attn.out_proj,out_proj,AUDIO_ENCODER,20,1024,1024,True,1049600,True
thinker.audio_tower.layers.20.fc1,fc1,AUDIO_ENCODER,20,1024,4096,True,4198400,True
thinker.audio_tower.layers.20.fc2,fc2,AUDIO_ENCODER,20,4096,1024,True,4195328,True
thinker.audio_tower.layers.21.self_attn.k_proj,k_proj,AUDIO_ENCODER,21,1024,1024,True,1049600,True
thinker.audio_tower.layers.21.self_attn.v_proj,v_proj,AUDIO_ENCODER,21,1024,1024,True,1049600,True
thinker.audio_tower.layers.21.self_attn.q_proj,q_proj,AUDIO_ENCODER,21,1024,1024,True,1049600,True
thinker.audio_tower.layers.21.self_attn.out_proj,out_proj,AUDIO_ENCODER,21,1024,1024,True,1049600,True
thinker.audio_tower.layers.21.fc1,fc1,AUDIO_ENCODER,21,1024,4096,True,4198400,True
thinker.audio_tower.layers.21.fc2,fc2,AUDIO_ENCODER,21,4096,1024,True,4195328,True
thinker.audio_tower.layers.22.self_attn.k_proj,k_proj,AUDIO_ENCODER,22,1024,1024,True,1049600,True
thinker.audio_tower.layers.22.self_attn.v_proj,v_proj,AUDIO_ENCODER,22,1024,1024,True,1049600,True
thinker.audio_tower.layers.22.self_attn.q_proj,q_proj,AUDIO_ENCODER,22,1024,1024,True,1049600,True
thinker.audio_tower.layers.22.self_attn.out_proj,out_proj,AUDIO_ENCODER,22,1024,1024,True,1049600,True
thinker.audio_tower.layers.22.fc1,fc1,AUDIO_ENCODER,22,1024,4096,True,4198400,True
thinker.audio_tower.layers.22.fc2,fc2,AUDIO_ENCODER,22,4096,1024,True,4195328,True
thinker.audio_tower.layers.23.self_attn.k_proj,k_proj,AUDIO_ENCODER,23,1024,1024,True,1049600,True
thinker.audio_tower.layers.23.self_attn.v_proj,v_proj,AUDIO_ENCODER,23,1024,1024,True,1049600,True
thinker.audio_tower.layers.23.self_attn.q_proj,q_proj,AUDIO_ENCODER,23,1024,1024,True,1049600,True
thinker.audio_tower.layers.23.self_attn.out_proj,out_proj,AUDIO_ENCODER,23,1024,1024,True,1049600,True
thinker.audio_tower.layers.23.fc1,fc1,AUDIO_ENCODER,23,1024,4096,True,4198400,True
thinker.audio_tower.layers.23.fc2,fc2,AUDIO_ENCODER,23,4096,1024,True,4195328,True
thinker.audio_tower.conv_out,conv_out,AUDIO_ENCODER,,7680,1024,False,7864320,True
thinker.audio_tower.proj1,proj1,AUDIO_PROJECTION,,1024,1024,True,1049600,True
thinker.audio_tower.proj2,proj2,AUDIO_PROJECTION,,1024,2048,True,2099200,True
thinker.model.layers.0.self_attn.q_proj,q_proj,TEXT_DECODER,0,2048,2048,False,4194304,True
thinker.model.layers.0.self_attn.k_proj,k_proj,TEXT_DECODER,0,2048,1024,False,2097152,True
thinker.model.layers.0.self_attn.v_proj,v_proj,TEXT_DECODER,0,2048,1024,False,2097152,True
thinker.model.layers.0.self_attn.o_proj,o_proj,TEXT_DECODER,0,2048,2048,False,4194304,True
thinker.model.layers.0.mlp.gate_proj,gate_proj,TEXT_DECODER,0,2048,6144,False,12582912,True
thinker.model.layers.0.mlp.up_proj,up_proj,TEXT_DECODER,0,2048,6144,False,12582912,True
thinker.model.layers.0.mlp.down_proj,down_proj,TEXT_DECODER,0,6144,2048,False,12582912,True
thinker.model.layers.1.self_attn.q_proj,q_proj,TEXT_DECODER,1,2048,2048,False,4194304,True
thinker.model.layers.1.self_attn.k_proj,k_proj,TEXT_DECODER,1,2048,1024,False,2097152,True
thinker.model.layers.1.self_attn.v_proj,v_proj,TEXT_DECODER,1,2048,1024,False,2097152,True
thinker.model.layers.1.self_attn.o_proj,o_proj,TEXT_DECODER,1,2048,2048,False,4194304,True
thinker.model.layers.1.mlp.gate_proj,gate_proj,TEXT_DECODER,1,2048,6144,False,12582912,True
thinker.model.layers.1.mlp.up_proj,up_proj,TEXT_DECODER,1,2048,6144,False,12582912,True
thinker.model.layers.1.mlp.down_proj,down_proj,TEXT_DECODER,1,6144,2048,False,12582912,True
thinker.model.layers.2.self_attn.q_proj,q_proj,TEXT_DECODER,2,2048,2048,False,4194304,True
thinker.model.layers.2.self_attn.k_proj,k_proj,TEXT_DECODER,2,2048,1024,False,2097152,True
thinker.model.layers.2.self_attn.v_proj,v_proj,TEXT_DECODER,2,2048,1024,False,2097152,True
thinker.model.layers.2.self_attn.o_proj,o_proj,TEXT_DECODER,2,2048,2048,False,4194304,True
thinker.model.layers.2.mlp.gate_proj,gate_proj,TEXT_DECODER,2,2048,6144,False,12582912,True
thinker.model.layers.2.mlp.up_proj,up_proj,TEXT_DECODER,2,2048,6144,False,12582912,True
thinker.model.layers.2.mlp.down_proj,down_proj,TEXT_DECODER,2,6144,2048,False,12582912,True
thinker.model.layers.3.self_attn.q_proj,q_proj,TEXT_DECODER,3,2048,2048,False,4194304,True
thinker.model.layers.3.self_attn.k_proj,k_proj,TEXT_DECODER,3,2048,1024,False,2097152,True
thinker.model.layers.3.self_attn.v_proj,v_proj,TEXT_DECODER,3,2048,1024,False,2097152,True
thinker.model.layers.3.self_attn.o_proj,o_proj,TEXT_DECODER,3,2048,2048,False,4194304,True
thinker.model.layers.3.mlp.gate_proj,gate_proj,TEXT_DECODER,3,2048,6144,False,12582912,True
thinker.model.layers.3.mlp.up_proj,up_proj,TEXT_DECODER,3,2048,6144,False,12582912,True
thinker.model.layers.3.mlp.down_proj,down_proj,TEXT_DECODER,3,6144,2048,False,12582912,True
thinker.model.layers.4.self_attn.q_proj,q_proj,TEXT_DECODER,4,2048,2048,False,4194304,True
thinker.model.layers.4.self_attn.k_proj,k_proj,TEXT_DECODER,4,2048,1024,False,2097152,True
thinker.model.layers.4.self_attn.v_proj,v_proj,TEXT_DECODER,4,2048,1024,False,2097152,True
thinker.model.layers.4.self_attn.o_proj,o_proj,TEXT_DECODER,4,2048,2048,False,4194304,True
thinker.model.layers.4.mlp.gate_proj,gate_proj,TEXT_DECODER,4,2048,6144,False,12582912,True
thinker.model.layers.4.mlp.up_proj,up_proj,TEXT_DECODER,4,2048,6144,False,12582912,True
thinker.model.layers.4.mlp.down_proj,down_proj,TEXT_DECODER,4,6144,2048,False,12582912,True
thinker.model.layers.5.self_attn.q_proj,q_proj,TEXT_DECODER,5,2048,2048,False,4194304,True
thinker.model.layers.5.self_attn.k_proj,k_proj,TEXT_DECODER,5,2048,1024,False,2097152,True
thinker.model.layers.5.self_attn.v_proj,v_proj,TEXT_DECODER,5,2048,1024,False,2097152,True
thinker.model.layers.5.self_attn.o_proj,o_proj,TEXT_DECODER,5,2048,2048,False,4194304,True
thinker.model.layers.5.mlp.gate_proj,gate_proj,TEXT_DECODER,5,2048,6144,False,12582912,True
thinker.model.layers.5.mlp.up_proj,up_proj,TEXT_DECODER,5,2048,6144,False,12582912,True
thinker.model.layers.5.mlp.down_proj,down_proj,TEXT_DECODER,5,6144,2048,False,12582912,True
thinker.model.layers.6.self_attn.q_proj,q_proj,TEXT_DECODER,6,2048,2048,False,4194304,True
thinker.model.layers.6.self_attn.k_proj,k_proj,TEXT_DECODER,6,2048,1024,False,2097152,True
thinker.model.layers.6.self_attn.v_proj,v_proj,TEXT_DECODER,6,2048,1024,False,2097152,True
thinker.model.layers.6.self_attn.o_proj,o_proj,TEXT_DECODER,6,2048,2048,False,4194304,True
thinker.model.layers.6.mlp.gate_proj,gate_proj,TEXT_DECODER,6,2048,6144,False,12582912,True
thinker.model.layers.6.mlp.up_proj,up_proj,TEXT_DECODER,6,2048,6144,False,12582912,True
thinker.model.layers.6.mlp.down_proj,down_proj,TEXT_DECODER,6,6144,2048,False,12582912,True
thinker.model.layers.7.self_attn.q_proj,q_proj,TEXT_DECODER,7,2048,2048,False,4194304,True
thinker.model.layers.7.self_attn.k_proj,k_proj,TEXT_DECODER,7,2048,1024,False,2097152,True
thinker.model.layers.7.self_attn.v_proj,v_proj,TEXT_DECODER,7,2048,1024,False,2097152,True
thinker.model.layers.7.self_attn.o_proj,o_proj,TEXT_DECODER,7,2048,2048,False,4194304,True
thinker.model.layers.7.mlp.gate_proj,gate_proj,TEXT_DECODER,7,2048,6144,False,12582912,True
thinker.model.layers.7.mlp.up_proj,up_proj,TEXT_DECODER,7,2048,6144,False,12582912,True
thinker.model.layers.7.mlp.down_proj,down_proj,TEXT_DECODER,7,6144,2048,False,12582912,True
thinker.model.layers.8.self_attn.q_proj,q_proj,TEXT_DECODER,8,2048,2048,False,4194304,True
thinker.model.layers.8.self_attn.k_proj,k_proj,TEXT_DECODER,8,2048,1024,False,2097152,True
thinker.model.layers.8.self_attn.v_proj,v_proj,TEXT_DECODER,8,2048,1024,False,2097152,True
thinker.model.layers.8.self_attn.o_proj,o_proj,TEXT_DECODER,8,2048,2048,False,4194304,True
thinker.model.layers.8.mlp.gate_proj,gate_proj,TEXT_DECODER,8,2048,6144,False,12582912,True
thinker.model.layers.8.mlp.up_proj,up_proj,TEXT_DECODER,8,2048,6144,False,12582912,True
thinker.model.layers.8.mlp.down_proj,down_proj,TEXT_DECODER,8,6144,2048,False,12582912,True
thinker.model.layers.9.self_attn.q_proj,q_proj,TEXT_DECODER,9,2048,2048,False,4194304,True
thinker.model.layers.9.self_attn.k_proj,k_proj,TEXT_DECODER,9,2048,1024,False,2097152,True
thinker.model.layers.9.self_attn.v_proj,v_proj,TEXT_DECODER,9,2048,1024,False,2097152,True
thinker.model.layers.9.self_attn.o_proj,o_proj,TEXT_DECODER,9,2048,2048,False,4194304,True
thinker.model.layers.9.mlp.gate_proj,gate_proj,TEXT_DECODER,9,2048,6144,False,12582912,True
thinker.model.layers.9.mlp.up_proj,up_proj,TEXT_DECODER,9,2048,6144,False,12582912,True
thinker.model.layers.9.mlp.down_proj,down_proj,TEXT_DECODER,9,6144,2048,False,12582912,True
thinker.model.layers.10.self_attn.q_proj,q_proj,TEXT_DECODER,10,2048,2048,False,4194304,True
thinker.model.layers.10.self_attn.k_proj,k_proj,TEXT_DECODER,10,2048,1024,False,2097152,True
thinker.model.layers.10.self_attn.v_proj,v_proj,TEXT_DECODER,10,2048,1024,False,2097152,True
thinker.model.layers.10.self_attn.o_proj,o_proj,TEXT_DECODER,10,2048,2048,False,4194304,True
thinker.model.layers.10.mlp.gate_proj,gate_proj,TEXT_DECODER,10,2048,6144,False,12582912,True
thinker.model.layers.10.mlp.up_proj,up_proj,TEXT_DECODER,10,2048,6144,False,12582912,True
thinker.model.layers.10.mlp.down_proj,down_proj,TEXT_DECODER,10,6144,2048,False,12582912,True
thinker.model.layers.11.self_attn.q_proj,q_proj,TEXT_DECODER,11,2048,2048,False,4194304,True
thinker.model.layers.11.self_attn.k_proj,k_proj,TEXT_DECODER,11,2048,1024,False,2097152,True
thinker.model.layers.11.self_attn.v_proj,v_proj,TEXT_DECODER,11,2048,1024,False,2097152,True
thinker.model.layers.11.self_attn.o_proj,o_proj,TEXT_DECODER,11,2048,2048,False,4194304,True
thinker.model.layers.11.mlp.gate_proj,gate_proj,TEXT_DECODER,11,2048,6144,False,12582912,True
thinker.model.layers.11.mlp.up_proj,up_proj,TEXT_DECODER,11,2048,6144,False,12582912,True
thinker.model.layers.11.mlp.down_proj,down_proj,TEXT_DECODER,11,6144,2048,False,12582912,True
thinker.model.layers.12.self_attn.q_proj,q_proj,TEXT_DECODER,12,2048,2048,False,4194304,True
thinker.model.layers.12.self_attn.k_proj,k_proj,TEXT_DECODER,12,2048,1024,False,2097152,True
thinker.model.layers.12.self_attn.v_proj,v_proj,TEXT_DECODER,12,2048,1024,False,2097152,True
thinker.model.layers.12.self_attn.o_proj,o_proj,TEXT_DECODER,12,2048,2048,False,4194304,True
thinker.model.layers.12.mlp.gate_proj,gate_proj,TEXT_DECODER,12,2048,6144,False,12582912,True
thinker.model.layers.12.mlp.up_proj,up_proj,TEXT_DECODER,12,2048,6144,False,12582912,True
thinker.model.layers.12.mlp.down_proj,down_proj,TEXT_DECODER,12,6144,2048,False,12582912,True
thinker.model.layers.13.self_attn.q_proj,q_proj,TEXT_DECODER,13,2048,2048,False,4194304,True
thinker.model.layers.13.self_attn.k_proj,k_proj,TEXT_DECODER,13,2048,1024,False,2097152,True
thinker.model.layers.13.self_attn.v_proj,v_proj,TEXT_DECODER,13,2048,1024,False,2097152,True
thinker.model.layers.13.self_attn.o_proj,o_proj,TEXT_DECODER,13,2048,2048,False,4194304,True
thinker.model.layers.13.mlp.gate_proj,gate_proj,TEXT_DECODER,13,2048,6144,False,12582912,True
thinker.model.layers.13.mlp.up_proj,up_proj,TEXT_DECODER,13,2048,6144,False,12582912,True
thinker.model.layers.13.mlp.down_proj,down_proj,TEXT_DECODER,13,6144,2048,False,12582912,True
thinker.model.layers.14.self_attn.q_proj,q_proj,TEXT_DECODER,14,2048,2048,False,4194304,True
thinker.model.layers.14.self_attn.k_proj,k_proj,TEXT_DECODER,14,2048,1024,False,2097152,True
thinker.model.layers.14.self_attn.v_proj,v_proj,TEXT_DECODER,14,2048,1024,False,2097152,True
thinker.model.layers.14.self_attn.o_proj,o_proj,TEXT_DECODER,14,2048,2048,False,4194304,True
thinker.model.layers.14.mlp.gate_proj,gate_proj,TEXT_DECODER,14,2048,6144,False,12582912,True
thinker.model.layers.14.mlp.up_proj,up_proj,TEXT_DECODER,14,2048,6144,False,12582912,True
thinker.model.layers.14.mlp.down_proj,down_proj,TEXT_DECODER,14,6144,2048,False,12582912,True
thinker.model.layers.15.self_attn.q_proj,q_proj,TEXT_DECODER,15,2048,2048,False,4194304,True
thinker.model.layers.15.self_attn.k_proj,k_proj,TEXT_DECODER,15,2048,1024,False,2097152,True
thinker.model.layers.15.self_attn.v_proj,v_proj,TEXT_DECODER,15,2048,1024,False,2097152,True
thinker.model.layers.15.self_attn.o_proj,o_proj,TEXT_DECODER,15,2048,2048,False,4194304,True
thinker.model.layers.15.mlp.gate_proj,gate_proj,TEXT_DECODER,15,2048,6144,False,12582912,True
thinker.model.layers.15.mlp.up_proj,up_proj,TEXT_DECODER,15,2048,6144,False,12582912,True
