module_path,leaf_name,component,layer_index,in_features,out_features,bias,n_params,requires_grad
thinker.audio_tower.layers.3.fc2,fc2,AUDIO_ENCODER,3,3584,896,True,3212160,True
thinker.audio_tower.layers.4.self_attn.k_proj,k_proj,AUDIO_ENCODER,4,896,896,True,803712,True
thinker.audio_tower.layers.4.self_attn.v_proj,v_proj,AUDIO_ENCODER,4,896,896,True,803712,True
thinker.audio_tower.layers.4.self_attn.q_proj,q_proj,AUDIO_ENCODER,4,896,896,True,803712,True
thinker.audio_tower.layers.4.self_attn.out_proj,out_proj,AUDIO_ENCODER,4,896,896,True,803712,True
thinker.audio_tower.layers.4.fc1,fc1,AUDIO_ENCODER,4,896,3584,True,3214848,True
thinker.audio_tower.layers.4.fc2,fc2,AUDIO_ENCODER,4,3584,896,True,3212160,True
thinker.audio_tower.layers.5.self_attn.k_proj,k_proj,AUDIO_ENCODER,5,896,896,True,803712,True
thinker.audio_tower.layers.5.self_attn.v_proj,v_proj,AUDIO_ENCODER,5,896,896,True,803712,True
thinker.audio_tower.layers.5.self_attn.q_proj,q_proj,AUDIO_ENCODER,5,896,896,True,803712,True
thinker.audio_tower.layers.5.self_attn.out_proj,out_proj,AUDIO_ENCODER,5,896,896,True,803712,True
thinker.audio_tower.layers.5.fc1,fc1,AUDIO_ENCODER,5,896,3584,True,3214848,True
thinker.audio_tower.layers.5.fc2,fc2,AUDIO_ENCODER,5,3584,896,True,3212160,True
thinker.audio_tower.layers.6.self_attn.k_proj,k_proj,AUDIO_ENCODER,6,896,896,True,803712,True
thinker.audio_tower.layers.6.self_attn.v_proj,v_proj,AUDIO_ENCODER,6,896,896,True,803712,True
thinker.audio_tower.layers.6.self_attn.q_proj,q_proj,AUDIO_ENCODER,6,896,896,True,803712,True
thinker.audio_tower.layers.6.self_attn.out_proj,out_proj,AUDIO_ENCODER,6,896,896,True,803712,True
thinker.audio_tower.layers.6.fc1,fc1,AUDIO_ENCODER,6,896,3584,True,3214848,True
thinker.audio_tower.layers.6.fc2,fc2,AUDIO_ENCODER,6,3584,896,True,3212160,True
thinker.audio_tower.layers.7.self_attn.k_proj,k_proj,AUDIO_ENCODER,7,896,896,True,803712,True
thinker.audio_tower.layers.7.self_attn.v_proj,v_proj,AUDIO_ENCODER,7,896,896,True,803712,True
thinker.audio_tower.layers.7.self_attn.q_proj,q_proj,AUDIO_ENCODER,7,896,896,True,803712,True
thinker.audio_tower.layers.7.self_attn.out_proj,out_proj,AUDIO_ENCODER,7,896,896,True,803712,True
thinker.audio_tower.layers.7.fc1,fc1,AUDIO_ENCODER,7,896,3584,True,3214848,True
thinker.audio_tower.layers.7.fc2,fc2,AUDIO_ENCODER,7,3584,896,True,3212160,True
thinker.audio_tower.layers.8.self_attn.k_proj,k_proj,AUDIO_ENCODER,8,896,896,True,803712,True
thinker.audio_tower.layers.8.self_attn.v_proj,v_proj,AUDIO_ENCODER,8,896,896,True,803712,True
thinker.audio_tower.layers.8.self_attn.q_proj,q_proj,AUDIO_ENCODER,8,896,896,True,803712,True
thinker.audio_tower.layers.8.self_attn.out_proj,out_proj,AUDIO_ENCODER,8,896,896,True,803712,True
thinker.audio_tower.layers.8.fc1,fc1,AUDIO_ENCODER,8,896,3584,True,3214848,True
thinker.audio_tower.layers.8.fc2,fc2,AUDIO_ENCODER,8,3584,896,True,3212160,True
thinker.audio_tower.layers.9.self_attn.k_proj,k_proj,AUDIO_ENCODER,9,896,896,True,803712,True
thinker.audio_tower.layers.9.self_attn.v_proj,v_proj,AUDIO_ENCODER,9,896,896,True,803712,True
thinker.audio_tower.layers.9.self_attn.q_proj,q_proj,AUDIO_ENCODER,9,896,896,True,803712,True
thinker.audio_tower.layers.9.self_attn.out_proj,out_proj,AUDIO_ENCODER,9,896,896,True,803712,True
thinker.audio_tower.layers.9.fc1,fc1,AUDIO_ENCODER,9,896,3584,True,3214848,True
thinker.audio_tower.layers.9.fc2,fc2,AUDIO_ENCODER,9,3584,896,True,3212160,True
thinker.audio_tower.layers.10.self_attn.k_proj,k_proj,AUDIO_ENCODER,10,896,896,True,803712,True
thinker.audio_tower.layers.10.self_attn.v_proj,v_proj,AUDIO_ENCODER,10,896,896,True,803712,True
thinker.audio_tower.layers.10.self_attn.q_proj,q_proj,AUDIO_ENCODER,10,896,896,True,803712,True
thinker.audio_tower.layers.10.self_attn.out_proj,out_proj,AUDIO_ENCODER,10,896,896,True,803712,True
thinker.audio_tower.layers.10.fc1,fc1,AUDIO_ENCODER,10,896,3584,True,3214848,True
thinker.audio_tower.layers.10.fc2,fc2,AUDIO_ENCODER,10,3584,896,True,3212160,True
thinker.audio_tower.layers.11.self_attn.k_proj,k_proj,AUDIO_ENCODER,11,896,896,True,803712,True
thinker.audio_tower.layers.11.self_attn.v_proj,v_proj,AUDIO_ENCODER,11,896,896,True,803712,True
thinker.audio_tower.layers.11.self_attn.q_proj,q_proj,AUDIO_ENCODER,11,896,896,True,803712,True
thinker.audio_tower.layers.11.self_attn.out_proj,out_proj,AUDIO_ENCODER,11,896,896,True,803712,True
thinker.audio_tower.layers.11.fc1,fc1,AUDIO_ENCODER,11,896,3584,True,3214848,True
thinker.audio_tower.layers.11.fc2,fc2,AUDIO_ENCODER,11,3584,896,True,3212160,True
thinker.audio_tower.layers.12.self_attn.k_proj,k_proj,AUDIO_ENCODER,12,896,896,True,803712,True
thinker.audio_tower.layers.12.self_attn.v_proj,v_proj,AUDIO_ENCODER,12,896,896,True,803712,True
thinker.audio_tower.layers.12.self_attn.q_proj,q_proj,AUDIO_ENCODER,12,896,896,True,803712,True
thinker.audio_tower.layers.12.self_attn.out_proj,out_proj,AUDIO_ENCODER,12,896,896,True,803712,True
thinker.audio_tower.layers.12.fc1,fc1,AUDIO_ENCODER,12,896,3584,True,3214848,True
thinker.audio_tower.layers.12.fc2,fc2,AUDIO_ENCODER,12,3584,896,True,3212160,True
thinker.audio_tower.layers.13.self_attn.k_proj,k_proj,AUDIO_ENCODER,13,896,896,True,803712,True
thinker.audio_tower.layers.13.self_attn.v_proj,v_proj,AUDIO_ENCODER,13,896,896,True,803712,True
thinker.audio_tower.layers.13.self_attn.q_proj,q_proj,AUDIO_ENCODER,13,896,896,True,803712,True
thinker.audio_tower.layers.13.self_attn.out_proj,out_proj,AUDIO_ENCODER,13,896,896,True,803712,True
thinker.audio_tower.layers.13.fc1,fc1,AUDIO_ENCODER,13,896,3584,True,3214848,True
thinker.audio_tower.layers.13.fc2,fc2,AUDIO_ENCODER,13,3584,896,True,3212160,True
thinker.audio_tower.layers.14.self_attn.k_proj,k_proj,AUDIO_ENCODER,14,896,896,True,803712,True
thinker.audio_tower.layers.14.self_attn.v_proj,v_proj,AUDIO_ENCODER,14,896,896,True,803712,True
thinker.audio_tower.layers.14.self_attn.q_proj,q_proj,AUDIO_ENCODER,14,896,896,True,803712,True
thinker.audio_tower.layers.14.self_attn.out_proj,out_proj,AUDIO_ENCODER,14,896,896,True,803712,True
thinker.audio_tower.layers.14.fc1,fc1,AUDIO_ENCODER,14,896,3584,True,3214848,True
thinker.audio_tower.layers.14.fc2,fc2,AUDIO_ENCODER,14,3584,896,True,3212160,True
thinker.audio_tower.layers.15.self_attn.k_proj,k_proj,AUDIO_ENCODER,15,896,896,True,803712,True
thinker.audio_tower.layers.15.self_attn.v_proj,v_proj,AUDIO_ENCODER,15,896,896,True,803712,True
thinker.audio_tower.layers.15.self_attn.q_proj,q_proj,AUDIO_ENCODER,15,896,896,True,803712,True
thinker.audio_tower.layers.15.self_attn.out_proj,out_proj,AUDIO_ENCODER,15,896,896,True,803712,True
thinker.audio_tower.layers.15.fc1,fc1,AUDIO_ENCODER,15,896,3584,True,3214848,True
thinker.audio_tower.layers.15.fc2,fc2,AUDIO_ENCODER,15,3584,896,True,3212160,True
thinker.audio_tower.layers.16.self_attn.k_proj,k_proj,AUDIO_ENCODER,16,896,896,True,803712,True
thinker.audio_tower.layers.16.self_attn.v_proj,v_proj,AUDIO_ENCODER,16,896,896,True,803712,True
thinker.audio_tower.layers.16.self_attn.q_proj,q_proj,AUDIO_ENCODER,16,896,896,True,803712,True
thinker.audio_tower.layers.16.self_attn.out_proj,out_proj,AUDIO_ENCODER,16,896,896,True,803712,True
thinker.audio_tower.layers.16.fc1,fc1,AUDIO_ENCODER,16,896,3584,True,3214848,True
thinker.audio_tower.layers.16.fc2,fc2,AUDIO_ENCODER,16,3584,896,True,3212160,True
thinker.audio_tower.layers.17.self_attn.k_proj,k_proj,AUDIO_ENCODER,17,896,896,True,803712,True
thinker.audio_tower.layers.17.self_attn.v_proj,v_proj,AUDIO_ENCODER,17,896,896,True,803712,True
thinker.audio_tower.layers.17.self_attn.q_proj,q_proj,AUDIO_ENCODER,17,896,896,True,803712,True
thinker.audio_tower.layers.17.self_attn.out_proj,out_proj,AUDIO_ENCODER,17,896,896,True,803712,True
thinker.audio_tower.layers.17.fc1,fc1,AUDIO_ENCODER,17,896,3584,True,3214848,True
thinker.audio_tower.layers.17.fc2,fc2,AUDIO_ENCODER,17,3584,896,True,3212160,True
thinker.audio_tower.conv_out,conv_out,AUDIO_ENCODER,,7680,896,False,6881280,True
thinker.audio_tower.proj1,proj1,AUDIO_PROJECTION,,896,896,True,803712,True
thinker.audio_tower.proj2,proj2,AUDIO_PROJECTION,,896,1024,True,918528,True
thinker.model.layers.0.self_attn.q_proj,q_proj,TEXT_DECODER,0,1024,2048,False,2097152,True
thinker.model.layers.0.self_attn.k_proj,k_proj,TEXT_DECODER,0,1024,1024,False,1048576,True
thinker.model.layers.0.self_attn.v_proj,v_proj,TEXT_DECODER,0,1024,1024,False,1048576,True
thinker.model.layers.0.self_attn.o_proj,o_proj,TEXT_DECODER,0,2048,1024,False,2097152,True
thinker.model.layers.0.mlp.gate_proj,gate_proj,TEXT_DECODER,0,1024,3072,False,3145728,True
thinker.model.layers.0.mlp.up_proj,up_proj,TEXT_DECODER,0,1024,3072,False,3145728,True
thinker.model.layers.0.mlp.down_proj,down_proj,TEXT_DECODER,0,3072,1024,False,3145728,True
thinker.model.layers.1.self_attn.q_proj,q_proj,TEXT_DECODER,1,1024,2048,False,2097152,True
thinker.model.layers.1.self_attn.k_proj,k_proj,TEXT_DECODER,1,1024,1024,False,1048576,True
thinker.model.layers.1.self_attn.v_proj,v_proj,TEXT_DECODER,1,1024,1024,False,1048576,True
thinker.model.layers.1.self_attn.o_proj,o_proj,TEXT_DECODER,1,2048,1024,False,2097152,True
thinker.model.layers.1.mlp.gate_proj,gate_proj,TEXT_DECODER,1,1024,3072,False,3145728,True
thinker.model.layers.1.mlp.up_proj,up_proj,TEXT_DECODER,1,1024,3072,False,3145728,True
thinker.model.layers.1.mlp.down_proj,down_proj,TEXT_DECODER,1,3072,1024,False,3145728,True
thinker.model.layers.2.self_attn.q_proj,q_proj,TEXT_DECODER,2,1024,2048,False,2097152,True
thinker.model.layers.2.self_attn.k_proj,k_proj,TEXT_DECODER,2,1024,1024,False,1048576,True
thinker.model.layers.2.self_attn.v_proj,v_proj,TEXT_DECODER,2,1024,1024,False,1048576,True
thinker.model.layers.2.self_attn.o_proj,o_proj,TEXT_DECODER,2,2048,1024,False,2097152,True
thinker.model.layers.2.mlp.gate_proj,gate_proj,TEXT_DECODER,2,1024,3072,False,3145728,True
thinker.model.layers.2.mlp.up_proj,up_proj,TEXT_DECODER,2,1024,3072,False,3145728,True
thinker.model.layers.2.mlp.down_proj,down_proj,TEXT_DECODER,2,3072,1024,False,3145728,True
thinker.model.layers.3.self_attn.q_proj,q_proj,TEXT_DECODER,3,1024,2048,False,2097152,True
thinker.model.layers.3.self_attn.k_proj,k_proj,TEXT_DECODER,3,1024,1024,False,1048576,True
thinker.model.layers.3.self_attn.v_proj,v_proj,TEXT_DECODER,3,1024,1024,False,1048576,True
thinker.model.layers.3.self_attn.o_proj,o_proj,TEXT_DECODER,3,2048,1024,False,2097152,True
thinker.model.layers.3.mlp.gate_proj,gate_proj,TEXT_DECODER,3,1024,3072,False,3145728,True
thinker.model.layers.3.mlp.up_proj,up_proj,TEXT_DECODER,3,1024,3072,False,3145728,True
thinker.model.layers.3.mlp.down_proj,down_proj,TEXT_DECODER,3,3072,1024,False,3145728,True
thinker.model.layers.4.self_attn.q_proj,q_proj,TEXT_DECODER,4,1024,2048,False,2097152,True
thinker.model.layers.4.self_attn.k_proj,k_proj,TEXT_DECODER,4,1024,1024,False,1048576,True
thinker.model.layers.4.self_attn.v_proj,v_proj,TEXT_DECODER,4,1024,1024,False,1048576,True
thinker.model.layers.4.self_attn.o_proj,o_proj,TEXT_DECODER,4,2048,1024,False,2097152,True
thinker.model.layers.4.mlp.gate_proj,gate_proj,TEXT_DECODER,4,1024,3072,False,3145728,True
thinker.model.layers.4.mlp.up_proj,up_proj,TEXT_DECODER,4,1024,3072,False,3145728,True
thinker.model.layers.4.mlp.down_proj,down_proj,TEXT_DECODER,4,3072,1024,False,3145728,True
thinker.model.layers.5.self_attn.q_proj,q_proj,TEXT_DECODER,5,1024,2048,False,2097152,True
thinker.model.layers.5.self_attn.k_proj,k_proj,TEXT_DECODER,5,1024,1024,False,1048576,True
thinker.model.layers.5.self_attn.v_proj,v_proj,TEXT_DECODER,5,1024,1024,False,1048576,True
thinker.model.layers.5.self_attn.o_proj,o_proj,TEXT_DECODER,5,2048,1024,False,2097152,True
thinker.model.layers.5.mlp.gate_proj,gate_proj,TEXT_DECODER,5,1024,3072,False,3145728,True
thinker.model.layers.5.mlp.up_proj,up_proj,TEXT_DECODER,5,1024,3072,False,3145728,True
thinker.model.layers.5.mlp.down_proj,down_proj,TEXT_DECODER,5,3072,1024,False,3145728,True
thinker.model.layers.6.self_attn.q_proj,q_proj,TEXT_DECODER,6,1024,2048,False,2097152,True
thinker.model.layers.6.self_attn.k_proj,k_proj,TEXT_DECODER,6,1024,1024,False,1048576,True
thinker.model.layers.6.self_attn.v_proj,v_proj,TEXT_DECODER,6,1024,1024,False,1048576,True
thinker.model.layers.6.self_attn.o_proj,o_proj,TEXT_DECODER,6,2048,1024,False,2097152,True
thinker.model.layers.6.mlp.gate_proj,gate_proj,TEXT_DECODER,6,1024,3072,False,3145728,True
thinker.model.layers.6.mlp.up_proj,up_proj,TEXT_DECODER,6,1024,3072,False,3145728,True
thinker.model.layers.6.mlp.down_proj,down_proj,TEXT_DECODER,6,3072,1024,False,3145728,True
thinker.model.layers.7.self_attn.q_proj,q_proj,TEXT_DECODER,7,1024,2048,False,2097152,True
thinker.model.layers.7.self_attn.k_proj,k_proj,TEXT_DECODER,7,1024,1024,False,1048576,True
thinker.model.layers.7.self_attn.v_proj,v_proj,TEXT_DECODER,7,1024,1024,False,1048576,True
thinker.model.layers.7.self_attn.o_proj,o_proj,TEXT_DECODER,7,2048,1024,False,2097152,True
thinker.model.layers.7.mlp.gate_proj,gate_proj,TEXT_DECODER,7,1024,3072,False,3145728,True
thinker.model.layers.7.mlp.up_proj,up_proj,TEXT_DECODER,7,1024,3072,False,3145728,True
thinker.model.layers.7.mlp.down_proj,down_proj,TEXT_DECODER,7,3072,1024,False,3145728,True
thinker.model.layers.8.self_attn.q_proj,q_proj,TEXT_DECODER,8,1024,2048,False,2097152,True
thinker.model.layers.8.self_attn.k_proj,k_proj,TEXT_DECODER,8,1024,1024,False,1048576,True
thinker.model.layers.8.self_attn.v_proj,v_proj,TEXT_DECODER,8,1024,1024,False,1048576,True
thinker.model.layers.8.self_attn.o_proj,o_proj,TEXT_DECODER,8,2048,1024,False,2097152,True
thinker.model.layers.8.mlp.gate_proj,gate_proj,TEXT_DECODER,8,1024,3072,False,3145728,True
thinker.model.layers.8.mlp.up_proj,up_proj,TEXT_DECODER,8,1024,3072,False,3145728,True
thinker.model.layers.8.mlp.down_proj,down_proj,TEXT_DECODER,8,3072,1024,False,3145728,True
thinker.model.layers.9.self_attn.q_proj,q_proj,TEXT_DECODER,9,1024,2048,False,2097152,True
thinker.model.layers.9.self_attn.k_proj,k_proj,TEXT_DECODER,9,1024,1024,False,1048576,True
thinker.model.layers.9.self_attn.v_proj,v_proj,TEXT_DECODER,9,1024,1024,False,1048576,True
thinker.model.layers.9.self_attn.o_proj,o_proj,TEXT_DECODER,9,2048,1024,False,2097152,True
thinker.model.layers.9.mlp.gate_proj,gate_proj,TEXT_DECODER,9,1024,3072,False,3145728,True
thinker.model.layers.9.mlp.up_proj,up_proj,TEXT_DECODER,9,1024,3072,False,3145728,True
thinker.model.layers.9.mlp.down_proj,down_proj,TEXT_DECODER,9,3072,1024,False,3145728,True
thinker.model.layers.10.self_attn.q_proj,q_proj,TEXT_DECODER,10,1024,2048,False,2097152,True
thinker.model.layers.10.self_attn.k_proj,k_proj,TEXT_DECODER,10,1024,1024,False,1048576,True
thinker.model.layers.10.self_attn.v_proj,v_proj,TEXT_DECODER,10,1024,1024,False,1048576,True
thinker.model.layers.10.self_attn.o_proj,o_proj,TEXT_DECODER,10,2048,1024,False,2097152,True
thinker.model.layers.10.mlp.gate_proj,gate_proj,TEXT_DECODER,10,1024,3072,False,3145728,True
thinker.model.layers.10.mlp.up_proj,up_proj,TEXT_DECODER,10,1024,3072,False,3145728,True
thinker.model.layers.10.mlp.down_proj,down_proj,TEXT_DECODER,10,3072,1024,False,3145728,True
thinker.model.layers.11.self_attn.q_proj,q_proj,TEXT_DECODER,11,1024,2048,False,2097152,True
thinker.model.layers.11.self_attn.k_proj,k_proj,TEXT_DECODER,11,1024,1024,False,1048576,True
thinker.model.layers.11.self_attn.v_proj,v_proj,TEXT_DECODER,11,1024,1024,False,1048576,True
thinker.model.layers.11.self_attn.o_proj,o_proj,TEXT_DECODER,11,2048,1024,False,2097152,True
thinker.model.layers.11.mlp.gate_proj,gate_proj,TEXT_DECODER,11,1024,3072,False,3145728,True
thinker.model.layers.11.mlp.up_proj,up_proj,TEXT_DECODER,11,1024,3072,False,3145728,True
thinker.model.layers.11.mlp.down_proj,down_proj,TEXT_DECODER,11,3072,1024,False,3145728,True
thinker.model.layers.12.self_attn.q_proj,q_proj,TEXT_DECODER,12,1024,2048,False,2097152,True
thinker.model.layers.12.self_attn.k_proj,k_proj,TEXT_DECODER,12,1024,1024,False,1048576,True
thinker.model.layers.12.self_attn.v_proj,v_proj,TEXT_DECODER,12,1024,1024,False,1048576,True
thinker.model.layers.12.self_attn.o_proj,o_proj,TEXT_DECODER,12,2048,1024,False,2097152,True
thinker.model.layers.12.mlp.gate_proj,gate_proj,TEXT_DECODER,12,1024,3072,False,3145728,True
thinker.model.layers.12.mlp.up_proj,up_proj,TEXT_DECODER,12,1024,3072,False,3145728,True
thinker.model.layers.12.mlp.down_proj,down_proj,TEXT_DECODER,12,3072,1024,False,3145728,True
thinker.model.layers.13.self_attn.q_proj,q_proj,TEXT_DECODER,13,1024,2048,False,2097152,True
thinker.model.layers.13.self_attn.k_proj,k_proj,TEXT_DECODER,13,1024,1024,False,1048576,True
thinker.model.layers.13.self_attn.v_proj,v_proj,TEXT_DECODER,13,1024,1024,False,1048576,True
thinker.model.layers.13.self_attn.o_proj,o_proj,TEXT_DECODER,13,2048,1024,False,2097152,True
thinker.model.layers.13.mlp.gate_proj,gate_proj,TEXT_DECODER,13,1024,3072,False,3145728,True
thinker.model.layers.13.mlp.up_proj,up_proj,TEXT_DECODER,13,1024,3072,False,3145728,True
thinker.model.layers.13.mlp.down_proj,down_proj,TEXT_DECODER,13,3072,1024,False,3145728,True
thinker.model.layers.14.self_attn.q_proj,q_proj,TEXT_DECODER,14,1024,2048,False,2097152,True
thinker.model.layers.14.self_attn.k_proj,k_proj,TEXT_DECODER,14,1024,1024,False,1048576,True
thinker.model.layers.14.self_attn.v_proj,v_proj,TEXT_DECODER,14,1024,1024,False,1048576,True
thinker.model.layers.14.self_attn.o_proj,o_proj,TEXT_DECODER,14,2048,1024,False,2097152,True
thinker.model.layers.14.mlp.gate_proj,gate_proj,TEXT_DECODER,14,1024,3072,False,3145728,True
thinker.model.layers.14.mlp.up_proj,up_proj,TEXT_DECODER,14,1024,3072,False,3145728,True
thinker.model.layers.14.mlp.down_proj,down_proj,TEXT_DECODER,14,3072,1024,False,3145728,True
thinker.model.layers.15.self_attn.q_proj,q_proj,TEXT_DECODER,15,1024,2048,False,2097152,True
thinker.model.layers.15.self_attn.k_proj,k_proj,TEXT_DECODER,15,1024,1024,False,1048576,True
thinker.model.layers.15.self_attn.v_proj,v_proj,TEXT_DECODER,15,1024,1024,False,1048576,True
thinker.model.layers.15.self_attn.o_proj,o_proj,TEXT_DECODER,15,2048,1024,False,2097152,True
thinker.model.layers.15.mlp.gate_proj,gate_proj,TEXT_DECODER,15,1024,3072,False,3145728,True
thinker.model.layers.15.mlp.up_proj,up_proj,TEXT_DECODER,15,1024,3072,False,3145728,True
thinker.model.layers.15.mlp.down_proj,down_proj,TEXT_DECODER,15,3072,1024,False,3145728,True
thinker.model.layers.16.self_attn.q_proj,q_proj,TEXT_DECODER,16,1024,2048,False,2097152,True
thinker.model.layers.16.self_attn.k_proj,k_proj,TEXT_DECODER,16,1024,1024,False,1048576,True
thinker.model.layers.16.self_attn.v_proj,v_proj,TEXT_DECODER,16,1024,1024,False,1048576,True
thinker.model.layers.16.self_attn.o_proj,o_proj,TEXT_DECODER,16,2048,1024,False,2097152,True
thinker.model.layers.16.mlp.gate_proj,gate_proj,TEXT_DECODER,16,1024,3072,False,3145728,True
thinker.model.layers.16.mlp.up_proj,up_proj,TEXT_DECODER,16,1024,3072,False,3145728,True
thinker.model.layers.16.mlp.down_proj,down_proj,TEXT_DECODER,16,3072,1024,False,3145728,True
thinker.model.layers.17.self_attn.q_proj,q_proj,TEXT_DECODER,17,1024,2048,False,2097152,True
thinker.model.layers.17.self_attn.k_proj,k_proj,TEXT_DECODER,17,1024,1024,False,1048576,True
thinker.model.layers.17.self_attn.v_proj,v_proj,TEXT_DECODER,17,1024,1024,False,1048576,True
thinker.model.layers.17.self_attn.o_proj,o_proj,TEXT_DECODER,17,2048,1024,False,2097152,True
thinker.model.layers.17.mlp.gate_proj,gate_proj,TEXT_DECODER,17,1024,3072,False,3145728,True
thinker.model.layers.17.mlp.up_proj,up_proj,TEXT_DECODER,17,1024,3072,False,3145728,True
thinker.model.layers.17.mlp.down_proj,down_proj,TEXT_DECODER,17,3072,1024,False,3145728,True
thinker.model.layers.18.self_attn.q_proj,q_proj,TEXT_DECODER,18,1024,2048,False,2097152,True
thinker.model.layers.18.self_attn.k_proj,k_proj,TEXT_DECODER,18,1024,1024,False,1048576,True
thinker.model.layers.18.self_attn.v_proj,v_proj,TEXT_DECODER,18,1024,1024,False,1048576,True
thinker.model.layers.18.self_attn.o_proj,o_proj,TEXT_DECODER,18,2048,1024,False,2097152,True
thinker.model.layers.18.mlp.gate_proj,gate_proj,TEXT_DECODER,18,1024,3072,False,3145728,True
thinker.model.layers.18.mlp.up_proj,up_proj,TEXT_DECODER,18,1024,3072,False,3145728,True
thinker.model.layers.18.mlp.down_proj,down_proj,TEXT_DECODER,18,3072,1024,False,3145728,True
thinker.model.layers.19.self_attn.q_proj,q_proj,TEXT_DECODER,19,1024,2048,False,2097152,True
thinker.model.layers.19.self_attn.k_proj,k_proj,TEXT_DECODER,19,1024,1024,False,1048576,True
thinker.model.layers.19.self_attn.v_proj,v_proj,TEXT_DECODER,19,1024,1024,False,1048576,True
thinker.model.layers.19.self_attn.o_proj,o_proj,TEXT_DECODER,19,2048,1024,False,2097152,True
thinker.model.layers.19.mlp.gate_proj,gate_proj,TEXT_DECODER,19,1024,3072,False,3145728,True
thinker.model.layers.19.mlp.up_proj,up_proj,TEXT_DECODER,19,1024,3072,False,3145728,True
thinker.model.layers.19.mlp.down_proj,down_proj,TEXT_DECODER,19,3072,1024,False,3145728,True
thinker.model.layers.20.self_attn.q_proj,q_proj,TEXT_DECODER,20,1024,2048,False,2097152,True
thinker.model.layers.20.self_attn.k_proj,k_proj,TEXT_DECODER,20,1024,1024,False,1048576,True
thinker.model.layers.20.self_attn.v_proj,v_proj,TEXT_DECODER,20,1024,1024,False,1048576,True
thinker.model.layers.20.self_attn.o_proj,o_proj,TEXT_DECODER,20,2048,1024,False,2097152,True
thinker.model.layers.20.mlp.gate_proj,gate_proj,TEXT_DECODER,20,1024,3072,False,3145728,True
thinker.model.layers.20.mlp.up_proj,up_proj,TEXT_DECODER,20,1024,3072,False,3145728,True
thinker.model.layers.20.mlp.down_proj,down_proj,TEXT_DECODER,20,3072,1024,False,3145728,True
thinker.model.layers.21.self_attn.q_proj,q_proj,TEXT_DECODER,21,1024,2048,False,2097152,True
thinker.model.layers.21.self_attn.k_proj,k_proj,TEXT_DECODER,21,1024,1024,False,1048576,True
thinker.model.layers.21.self_attn.v_proj,v_proj,TEXT_DECODER,21,1024,1024,False,1048576,True
thinker.model.layers.21.self_attn.o_proj,o_proj,TEXT_DECODER,21,2048,1024,False,2097152,True
thinker.model.layers.21.mlp.gate_proj,gate_proj,TEXT_DECODER,21,1024,3072,False,3145728,True
thinker.model.layers.21.mlp.up_proj,up_proj,TEXT_DECODER,21,1024,3072,False,3145728,True
thinker.model.layers.21.mlp.down_proj,down_proj,TEXT_DECODER,21,3072,1024,False,3145728,True
